formula,description
GaOOH,"GaOOH crystallizes in the orthorhombic Pmn2_1 space group. The structure is two-dimensional and consists of one GaOOH sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form a mixture of corner and edge-sharing GaO6 octahedra. The corner-sharing octahedral tilt angles are 25°. Both Ga(1)-O(1) bond lengths are 2.00 Å. There are a spread of Ga(1)-O(2) bond distances ranging from 1.95-2.08 Å. H(1) is bonded in a single-bond geometry to one O(1) atom. The H(1)-O(1) bond length is 0.98 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a trigonal non-coplanar geometry to two equivalent Ga(1) and one H(1) atom. In the second O site, O(2) is bonded to four equivalent Ga(1) atoms to form a mixture of corner and edge-sharing OGa4 trigonal pyramids."
MoS2,"MoS2 is trigonal omega-like structured and crystallizes in the trigonal R-3m space group. The structure is two-dimensional and consists of three MoS2 sheets oriented in the (0, 0, 1) direction. Mo(1) is bonded to six equivalent S(1) atoms to form edge-sharing MoS6 octahedra. All Mo(1)-S(1) bond lengths are 2.43 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Mo(1) atoms."
HgI2,"HgI2 crystallizes in the tetragonal P-4m2 space group. The structure is two-dimensional and consists of one HgI2 sheet oriented in the (0, 0, 1) direction. Hg(1) is bonded to four equivalent I(1) atoms to form corner-sharing HgI4 tetrahedra. All Hg(1)-I(1) bond lengths are 2.85 Å. I(1) is bonded in a water-like geometry to two equivalent Hg(1) atoms."
HfS2,"HfS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one HfS2 sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded to six equivalent S(1) atoms to form edge-sharing HfS6 octahedra. All Hf(1)-S(1) bond lengths are 2.55 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Hf(1) atoms."
RbAuS,"RbAuS crystallizes in the orthorhombic Pmma space group. The structure is two-dimensional and consists of one RbAuS sheet oriented in the (0, 0, 1) direction. Rb(1) is bonded in a 5-coordinate geometry to two equivalent Au(1) and three equivalent S(1) atoms. Both Rb(1)-Au(1) bond lengths are 3.30 Å. There is one shorter (3.29 Å) and two longer (3.41 Å) Rb(1)-S(1) bond lengths. Au(1) is bonded in a 4-coordinate geometry to two equivalent Rb(1) and two equivalent S(1) atoms. Both Au(1)-S(1) bond lengths are 2.34 Å. S(1) is bonded in a pentagonal planar geometry to three equivalent Rb(1) and two equivalent Au(1) atoms."
AlN,"AlN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one AlN sheet oriented in the (0, 0, 1) direction. Al(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All Al(1)-N(1) bond lengths are 1.81 Å. N(1) is bonded in a trigonal planar geometry to three equivalent Al(1) atoms."
ZrNI,"ZrNI crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one ZrNI sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 4-coordinate geometry to four equivalent N(1) and three equivalent I(1) atoms. There is one shorter (2.16 Å) and three longer (2.20 Å) Zr(1)-N(1) bond lengths. All Zr(1)-I(1) bond lengths are 3.09 Å. N(1) is bonded to four equivalent Zr(1) atoms to form a mixture of corner and edge-sharing NZr4 tetrahedra. I(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms."
PtCl2,"PtCl2 crystallizes in the triclinic P-1 space group. The structure is one-dimensional and consists of one PtCl2 ribbon oriented in the (0, 1, 0) direction. Pt(1) is bonded in a distorted rectangular see-saw-like geometry to one Cl(1) and three equivalent Cl(2) atoms. The Pt(1)-Cl(1) bond length is 2.26 Å. There are two shorter (2.38 Å) and one longer (2.54 Å) Pt(1)-Cl(2) bond length. There are two inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a single-bond geometry to one Pt(1) atom. In the second Cl site, Cl(2) is bonded in a T-shaped geometry to three equivalent Pt(1) atoms."
ScAg(PSe3)2,"ScAg(PSe3)2 crystallizes in the trigonal P312 space group. The structure is two-dimensional and consists of one ScAg(PSe3)2 sheet oriented in the (0, 0, 1) direction. Sc(1) is bonded to six equivalent Se(1) atoms to form ScSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent Ag(1)Se6 octahedra. All Sc(1)-Se(1) bond lengths are 2.72 Å. Ag(1) is bonded to six equivalent Se(1) atoms to form AgSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent Sc(1)Se6 octahedra. All Ag(1)-Se(1) bond lengths are 2.92 Å. P(1) is bonded to one P(1) and three equivalent Se(1) atoms to form PPSe3 tetrahedra that share corners with three equivalent Sc(1)Se6 octahedra and corners with three equivalent Ag(1)Se6 octahedra. The corner-sharing octahedral tilt angles range from 75-82°. The P(1)-P(1) bond length is 2.26 Å. All P(1)-Se(1) bond lengths are 2.22 Å. Se(1) is bonded in a distorted trigonal non-coplanar geometry to one Sc(1), one Ag(1), and one P(1) atom."
Pd3(PS4)2,"Pd3(PS4)2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Pd3(PS4)2 sheet oriented in the (0, 0, 1) direction. Pd(1) is bonded in a square co-planar geometry to four equivalent S(2) atoms. All Pd(1)-S(2) bond lengths are 2.36 Å. P(1) is bonded in a distorted trigonal pyramidal geometry to one S(1) and three equivalent S(2) atoms. The P(1)-S(1) bond length is 1.90 Å. All P(1)-S(2) bond lengths are 2.14 Å. There are two inequivalent S sites. In the first S site, S(1) is bonded in a single-bond geometry to one P(1) atom. In the second S site, S(2) is bonded in a distorted T-shaped geometry to two equivalent Pd(1) and one P(1) atom."
Tl4SnS3,"Tl4SnS3 crystallizes in the tetragonal P42_12 space group. The structure is two-dimensional and consists of one Tl4SnS3 sheet oriented in the (0, 0, 1) direction. Tl(1) is bonded in a distorted single-bond geometry to one S(2) atom. The Tl(1)-S(2) bond length is 2.92 Å. Sn(1) is bonded to one S(1) and four equivalent S(2) atoms to form corner-sharing SnS5 square pyramids. The Sn(1)-S(1) bond length is 2.53 Å. All Sn(1)-S(2) bond lengths are 2.99 Å. There are two inequivalent S sites. In the first S site, S(1) is bonded in a single-bond geometry to one Sn(1) atom. In the second S site, S(2) is bonded in a 4-coordinate geometry to two equivalent Tl(1) and two equivalent Sn(1) atoms."
NdTe3,"NdTe3 crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one NdTe3 sheet oriented in the (0, 0, 1) direction. Nd(1) is bonded in a 9-coordinate geometry to four equivalent Te(2) and five equivalent Te(1) atoms. All Nd(1)-Te(2) bond lengths are 3.38 Å. There are four shorter (3.25 Å) and one longer (3.31 Å) Nd(1)-Te(1) bond length. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded to five equivalent Nd(1) atoms to form a mixture of distorted corner and edge-sharing TeNd5 trigonal bipyramids. In the second Te site, Te(2) is bonded in a distorted L-shaped geometry to two equivalent Nd(1) atoms."
BI3,BI3 is Indium-like structured and crystallizes in the hexagonal P-62m space group. The structure is zero-dimensional and consists of one boron triiodide molecule. B(1) is bonded in a trigonal planar geometry to three equivalent I(1) atoms. All B(1)-I(1) bond lengths are 2.13 Å. I(1) is bonded in a single-bond geometry to one B(1) atom.
Ni(OH)2,"Ni(OH)2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Ni(OH)2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded to six equivalent O(1) atoms to form edge-sharing NiO6 octahedra. All Ni(1)-O(1) bond lengths are 2.07 Å. H(1) is bonded in a single-bond geometry to one O(1) atom. The H(1)-O(1) bond length is 0.97 Å. O(1) is bonded in a distorted single-bond geometry to three equivalent Ni(1) and one H(1) atom."
YN,"YN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one YN sheet oriented in the (0, 0, 1) direction. Y(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All Y(1)-N(1) bond lengths are 2.20 Å. N(1) is bonded in a trigonal planar geometry to three equivalent Y(1) atoms."
P,P crystallizes in the orthorhombic Pmna space group. The structure is zero-dimensional and consists of two diphosphane molecules. P(1) is bonded in a distorted single-bond geometry to one P(1) atom. The P(1)-P(1) bond length is 2.27 Å.
US3,"US3 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one US3 sheet oriented in the (0, 0, 1) direction. U(1) is bonded in a 8-coordinate geometry to two equivalent S(2), two equivalent S(3), and four equivalent S(1) atoms. Both U(1)-S(2) bond lengths are 2.77 Å. Both U(1)-S(3) bond lengths are 2.77 Å. There are two shorter (2.75 Å) and two longer (2.79 Å) U(1)-S(1) bond lengths. There are three inequivalent S sites. In the first S site, S(1) is bonded to four equivalent U(1) atoms to form a mixture of corner and edge-sharing SU4 trigonal pyramids. In the second S site, S(2) is bonded in an L-shaped geometry to two equivalent U(1) atoms. In the third S site, S(3) is bonded in an L-shaped geometry to two equivalent U(1) atoms."
TeITe,"TeITe crystallizes in the orthorhombic Pmn2_1 space group. The structure is one-dimensional and consists of two Te3I ribbons oriented in the (1, 0, 0) direction and two TeI ribbons oriented in the (1, 0, 0) direction. In each Te3I ribbon, there are three inequivalent Te sites. In the first Te site, Te(2) is bonded in a single-bond geometry to one Te(4) atom. The Te(2)-Te(4) bond length is 2.99 Å. In the second Te site, Te(3) is bonded in a rectangular see-saw-like geometry to two equivalent Te(4) and two equivalent I(2) atoms. Both Te(3)-Te(4) bond lengths are 2.90 Å. Both Te(3)-I(2) bond lengths are 3.18 Å. In the third Te site, Te(4) is bonded in a distorted T-shaped geometry to one Te(2) and two equivalent Te(3) atoms. I(2) is bonded in an L-shaped geometry to two equivalent Te(3) atoms. In each TeI ribbon, Te(1) is bonded in a 4-coordinate geometry to two equivalent I(1) atoms. Both Te(1)-I(1) bond lengths are 3.12 Å. I(1) is bonded in an L-shaped geometry to two equivalent Te(1) atoms."
KMgSb,"KMgSb crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one KMgSb sheet oriented in the (0, 0, 1) direction. K(1) is bonded in a 8-coordinate geometry to four equivalent Mg(1) and four equivalent Sb(1) atoms. All K(1)-Mg(1) bond lengths are 3.78 Å. All K(1)-Sb(1) bond lengths are 3.57 Å. Mg(1) is bonded to four equivalent K(1) and four equivalent Sb(1) atoms to form a mixture of face and edge-sharing MgK4Sb4 tetrahedra. All Mg(1)-Sb(1) bond lengths are 2.92 Å. Sb(1) is bonded in a 8-coordinate geometry to four equivalent K(1) and four equivalent Mg(1) atoms."
RuCl3,"RuCl3 is Chromium trichloride-like structured and crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one RuCl3 sheet oriented in the (0, 0, 1) direction. Ru(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing RuCl6 octahedra. All Ru(1)-Cl(1) bond lengths are 2.37 Å. Cl(1) is bonded in an L-shaped geometry to two equivalent Ru(1) atoms."
Nb2O5,"Nb2O5 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Nb2O5 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 5-coordinate geometry to one O(1), one O(2), and three equivalent O(3) atoms. The Nb(1)-O(1) bond length is 1.73 Å. The Nb(1)-O(2) bond length is 1.94 Å. There are two shorter (2.04 Å) and one longer (2.17 Å) Nb(1)-O(3) bond length. There are three inequivalent O sites. In the first O site, O(1) is bonded in a single-bond geometry to one Nb(1) atom. In the second O site, O(2) is bonded in a linear geometry to two equivalent Nb(1) atoms. In the third O site, O(3) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Nb(1) atoms."
UO2F2,"UO2F2 crystallizes in the hexagonal P6/mmm space group. The structure is two-dimensional and consists of one UO2F2 sheet oriented in the (0, 0, 1) direction. U(1) is bonded to two equivalent O(1) and six equivalent F(1) atoms to form distorted edge-sharing UO2F6 hexagonal bipyramids. Both U(1)-O(1) bond lengths are 1.78 Å. All U(1)-F(1) bond lengths are 2.44 Å. O(1) is bonded in a single-bond geometry to one U(1) atom. F(1) is bonded in a trigonal planar geometry to three equivalent U(1) atoms."
PdPS,"PdPS crystallizes in the monoclinic P2/c space group. The structure is two-dimensional and consists of one PdPS sheet oriented in the (0, 0, 1) direction. Pd(1) is bonded in a distorted square co-planar geometry to two equivalent P(1) and two equivalent S(1) atoms. There is one shorter (2.31 Å) and one longer (2.32 Å) Pd(1)-P(1) bond length. Both Pd(1)-S(1) bond lengths are 2.38 Å. P(1) is bonded to two equivalent Pd(1), one P(1), and one S(1) atom to form distorted corner-sharing PPPd2S tetrahedra. The P(1)-P(1) bond length is 2.25 Å. The P(1)-S(1) bond length is 2.13 Å. S(1) is bonded in a trigonal non-coplanar geometry to two equivalent Pd(1) and one P(1) atom."
TmI2,"TmI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TmI2 sheet oriented in the (0, 0, 1) direction. Tm(1) is bonded to six equivalent I(1) atoms to form edge-sharing TmI6 octahedra. All Tm(1)-I(1) bond lengths are 3.03 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Tm(1) atoms."
PdPSe,"PdPSe crystallizes in the monoclinic P2/c space group. The structure is two-dimensional and consists of one PdPSe sheet oriented in the (0, 0, 1) direction. Pd(1) is bonded in a distorted rectangular see-saw-like geometry to two equivalent P(1) and two equivalent Se(1) atoms. Both Pd(1)-P(1) bond lengths are 2.32 Å. There is one shorter (2.48 Å) and one longer (2.50 Å) Pd(1)-Se(1) bond length. P(1) is bonded to two equivalent Pd(1), one P(1), and one Se(1) atom to form corner-sharing PPPd2Se tetrahedra. The P(1)-P(1) bond length is 2.23 Å. The P(1)-Se(1) bond length is 2.31 Å. Se(1) is bonded in a trigonal non-coplanar geometry to two equivalent Pd(1) and one P(1) atom."
VCl3,"VCl3 is Chromium trichloride-like structured and crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one VCl3 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing VCl6 octahedra. All V(1)-Cl(1) bond lengths are 2.38 Å. Cl(1) is bonded in an L-shaped geometry to two equivalent V(1) atoms."
IrCl3,"IrCl3 is Aluminum trichloride-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one IrCl3 sheet oriented in the (0, 0, 1) direction. Ir(1) is bonded to six equivalent Cl(1,2) atoms to form edge-sharing IrCl6 octahedra. All Ir(1)-Cl(1,2) bond lengths are 2.37 Å. Cl(1,2) is bonded in an L-shaped geometry to two equivalent Ir(1) atoms."
Mg(OH)2MgO,"Mg(OH)2MgO crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Mg(OH)2MgO sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded to three equivalent O(1) and three equivalent O(2) atoms to form a mixture of corner and edge-sharing MgO6 octahedra. The corner-sharing octahedra are not tilted. All Mg(1)-O(1) bond lengths are 2.06 Å. All Mg(1)-O(2) bond lengths are 2.16 Å. H(1) is bonded in a single-bond geometry to one O(1) atom. The H(1)-O(1) bond length is 0.97 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a 4-coordinate geometry to three equivalent Mg(1) and one H(1) atom. In the second O site, O(2) is bonded to six equivalent Mg(1) atoms to form edge-sharing OMg6 octahedra."
HgCl2,HgCl2 is Cyanogen Chloride-derived structured and crystallizes in the orthorhombic Pbam space group. The structure is zero-dimensional and consists of two mercuric chloride molecules. Hg(1) is bonded in a linear geometry to two equivalent Cl(1) atoms. Both Hg(1)-Cl(1) bond lengths are 2.32 Å. Cl(1) is bonded in a single-bond geometry to one Hg(1) atom.
BBr3,BBr3 is Indium-like structured and crystallizes in the hexagonal P-62m space group. The structure is zero-dimensional and consists of one boron tribromide molecule. B(1) is bonded in a trigonal planar geometry to three equivalent Br(1) atoms. All B(1)-Br(1) bond lengths are 1.90 Å. Br(1) is bonded in a single-bond geometry to one B(1) atom.
P4S5,"P4S5 is Indium-like structured and crystallizes in the monoclinic Pm space group. The structure is zero-dimensional and consists of one tetraphosphorus pentasulfide molecule. There are three inequivalent P sites. In the first P site, P(1) is bonded in a trigonal non-coplanar geometry to one P(1), one S(1), and one S(2) atom. The P(1)-P(1) bond length is 2.36 Å. The P(1)-S(1) bond length is 2.14 Å. The P(1)-S(2) bond length is 2.13 Å. In the second P site, P(2) is bonded in a trigonal non-coplanar geometry to one S(3) and two equivalent S(2) atoms. The P(2)-S(3) bond length is 2.15 Å. Both P(2)-S(2) bond lengths are 2.13 Å. In the third P site, P(3) is bonded in a trigonal non-coplanar geometry to one S(3) and two equivalent S(1) atoms. The P(3)-S(3) bond length is 2.15 Å. Both P(3)-S(1) bond lengths are 2.13 Å. There are three inequivalent S sites. In the first S site, S(1) is bonded in a distorted water-like geometry to one P(1) and one P(3) atom. In the second S site, S(2) is bonded in a water-like geometry to one P(1) and one P(2) atom. In the third S site, S(3) is bonded in a bent 120 degrees geometry to one P(2) and one P(3) atom."
Ge2S3I2,"Ge2S3I2 is Indium-like structured and crystallizes in the trigonal P-3 space group. The structure is zero-dimensional and consists of two germanium iodine molecules and two GeS2I clusters. In each GeS2I cluster, Ge(2) is bonded to one S(1), two equivalent S(2), and one I(2) atom to form corner-sharing GeS3I tetrahedra. The Ge(2)-S(1) bond length is 2.19 Å. Both Ge(2)-S(2) bond lengths are 2.27 Å. The Ge(2)-I(2) bond length is 2.56 Å. There are two inequivalent S sites. In the first S site, S(1) is bonded in a single-bond geometry to one Ge(2) atom. In the second S site, S(2) is bonded in an L-shaped geometry to two equivalent Ge(2) atoms. I(2) is bonded in a single-bond geometry to one Ge(2) atom."
PbFCl,"PbFCl crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one PbFCl sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded in a 8-coordinate geometry to four equivalent Cl(1) and four equivalent F(1) atoms. All Pb(1)-Cl(1) bond lengths are 3.06 Å. All Pb(1)-F(1) bond lengths are 2.53 Å. Cl(1) is bonded to four equivalent Pb(1) atoms to form distorted ClPb4 trigonal pyramids that share corners with eight equivalent F(1)Pb4 tetrahedra, corners with four equivalent Cl(1)Pb4 trigonal pyramids, edges with four equivalent F(1)Pb4 tetrahedra, and edges with four equivalent Cl(1)Pb4 trigonal pyramids. F(1) is bonded to four equivalent Pb(1) atoms to form FPb4 tetrahedra that share corners with four equivalent F(1)Pb4 tetrahedra, corners with eight equivalent Cl(1)Pb4 trigonal pyramids, edges with four equivalent F(1)Pb4 tetrahedra, and edges with four equivalent Cl(1)Pb4 trigonal pyramids."
HoOBr,"HoOBr crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one HoOBr sheet oriented in the (0, 0, 1) direction. Ho(1) is bonded in a 6-coordinate geometry to four equivalent O(1) and two equivalent Br(1) atoms. There are two shorter (2.22 Å) and two longer (2.29 Å) Ho(1)-O(1) bond lengths. Both Ho(1)-Br(1) bond lengths are 2.81 Å. O(1) is bonded to four equivalent Ho(1) atoms to form a mixture of corner and edge-sharing OHo4 tetrahedra. Br(1) is bonded in an L-shaped geometry to two equivalent Ho(1) atoms."
