material_id,formula,structure,description,band_gap,volume,is_gap_direct
mp-541404,VO2,"Full Formula (V4 O8)
Reduced Formula: VO2
abc   : 3.687997 6.404978 6.265007
angles: 106.002592 107.098847 89.998895
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   V    0.696589 0.279240 0.393054   0.949
1   V    0.303411 0.720760 0.606946   0.949
2   V    0.600619 0.698494 0.200441   1.263
3   V    0.399381 0.301506 0.799559   1.263
4   O    0.637826 0.007728 0.275392  -0.145
5   O    0.362174 0.992272 0.724607  -0.145
6   O    0.767592 0.654206 0.535240  -0.027
7   O    0.232408 0.345794 0.464760  -0.027
8   O    0.559370 0.369313 0.118740  -0.068
9   O    0.440630 0.630687 0.881260  -0.068
10  O    0.865304 0.295235 0.731056  -0.083
11  O    0.134696 0.704765 0.268944  -0.083","VO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one VO2 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent O(1) atoms to form edge-sharing VO6 octahedra. All V(1)-O(1) bond lengths are 1.94 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent V(1) atoms.",,135.43671915122044,
mp-130,P,"Full Formula (P2)
Reduced Formula: P
abc   : 3.710220 3.710220 3.710220
angles: 55.436942 55.436948 55.436935
pbc   : True True True
Sites (2)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   P    0.227080 0.227080 0.227080    -0.0
1   P    0.772920 0.772920 0.772920    -0.0","PdSeO3 crystallizes in the monoclinic P2_1/m space group. The structure is one-dimensional and consists of one PdSeO3 ribbon oriented in the (0, 1, 0) direction. Pd(1) is bonded in a square co-planar geometry to two equivalent O(1) and two equivalent O(2) atoms. Both Pd(1)-O(1) bond lengths are 2.04 脜. Both Pd(1)-O(2) bond lengths are 2.02 脜. Se(1) is bonded in a single-bond geometry to one O(2) atom. The Se(1)-O(2) bond length is 1.84 脜. There are two inequivalent O sites. In the first O site, O(1) is bonded in a single-bond geometry to one Pd(1) atom. In the second O site, O(2) is bonded in a trigonal non-coplanar geometry to two equivalent Pd(1) and one Se(1) atom.",,32.28745931432384,
mp-1023938,Te2Mo,"Full Formula (Te4 Mo2)
Reduced Formula: Te2Mo
abc   : 3.560392 3.560392 24.811262
angles: 90.000000 90.000000 119.999987
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Te   0.333333 0.666667 0.382107    -0.0
1   Te   0.666667 0.333333 0.079096    -0.0
2   Te   0.666667 0.333333 0.223364    -0.0
3   Te   0.333333 0.666667 0.526374    -0.0
4   Mo   0.333333 0.666667 0.151194     0.0
5   Mo   0.666667 0.333333 0.454277     0.0","MoTe2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one MoTe2 sheet oriented in the (0, 0, 1) direction. Mo(1) is bonded in a 6-coordinate geometry to six equivalent Te(1) atoms. All Mo(1)-Te(1) bond lengths are 2.74 脜. Te(1) is bonded in a 3-coordinate geometry to three equivalent Mo(1) atoms.",,272.37993904446154,
mp-7991,BN,"Full Formula (B2 N2)
Reduced Formula: BN
abc   : 2.501640 2.501639 7.369320
angles: 90.000000 90.000000 119.999984
pbc   : True True True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   B    0.666667 0.333333 0.750000     0.0
1   B    0.333333 0.666667 0.250000     0.0
2   N    -0.000000 0.000000 0.750000     0.0
3   N    0.000000 0.000000 0.250000     0.0","BN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one BN sheet oriented in the (0, 0, 1) direction. B(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All B(1)-N(1) bond lengths are 1.45 脜. N(1) is bonded in a trigonal planar geometry to three equivalent B(1) atoms.",,39.93995665343799,
mp-1245281,BN,"Full Formula (B50 N50)
Reduced Formula: BN
abc   : 11.337820 10.125410 10.888950
angles: 87.443180 91.232479 86.591980
pbc   : True True True
Sites (100)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   B    0.620180 0.344252 0.439036   0.001
1   B    0.778786 0.798744 0.539827  -0.001
2   B    0.400517 0.290923 0.704337    -0.0
3   B    0.795025 0.870943 0.183302     0.0
4   B    0.915128 0.670145 0.932126   0.001
5   B    0.553507 0.194448 0.240327  -0.011
6   B    0.876179 0.233546 0.373478    -0.0
7   B    0.609443 0.492395 0.751476     0.0
8   B    0.968696 0.942954 0.623674    -0.0
9   B    0.547497 0.424985 0.881566    -0.0
10  B    0.494697 0.689097 0.607700   0.001
11  B    0.816166 0.874288 0.966799   0.001
12  B    0.252089 0.676471 0.911671  -0.013
13  B    0.281510 0.784677 0.692546   0.008
14  B    0.774988 0.332234 0.755574   0.007
15  B    0.394270 0.766904 0.033132  -0.016
16  B    0.647100 0.982034 0.841371  -0.001
17  B    0.953858 0.935349 0.178013    -0.0
18  B    0.417891 0.003066 0.282664   0.015
19  B    0.007690 0.502527 0.270660    -0.0
20  B    0.593259 0.889955 0.446918   0.013
21  B    0.907088 0.192192 0.026144  -0.003
22  B    0.792913 0.185218 0.832071   0.004
23  B    0.574264 0.123058 0.730089  -0.001
24  B    0.456869 0.295654 0.957735     0.0
25  B    0.312692 0.452172 0.840413     0.0
26  B    0.743601 0.468379 0.354402     0.0
27  B    0.258871 0.900613 0.383489  -0.017
28  B    0.931227 0.092740 0.834837    0.01
29  B    0.087344 0.043191 0.031587     0.0
30  B    0.317401 0.816888 0.515703  -0.016
31  B    0.720749 0.228126 0.287401     0.0
32  B    0.895550 0.361471 0.189661    -0.0
33  B    0.681721 0.243721 0.035688  -0.001
34  B    0.900237 0.858168 0.758340   0.001
35  B    0.200894 0.988513 0.172167    -0.0
36  B    0.944907 0.565156 0.042385     0.0
37  B    0.158188 0.930005 0.497176   -0.01
38  B    0.062891 0.361466 0.459677    -0.0
39  B    0.695299 0.539987 0.587452     0.0
40  B    0.896482 0.662681 0.612721    -0.0
41  B    0.545308 0.896161 0.661280  -0.007
42  B    0.190198 0.374110 0.666852     0.0
43  B    0.614909 0.844022 0.045201  -0.001
44  B    0.686567 0.694851 0.231624    -0.0
45  B    0.308448 0.115215 0.996774     0.0
46  B    0.061286 0.483082 0.695156   0.001
47  B    0.023024 0.121091 0.485011  -0.001
48  B    0.098812 0.514800 0.849273   0.001
49  B    0.803595 0.981167 0.371887    -0.0
50  N    0.499941 0.812275 0.033668   0.085
51  N    0.985091 0.569294 0.643285    -0.0
52  N    0.179319 0.337438 0.079143    -0.0
53  N    0.717363 0.583652 0.285716     0.0
54  N    0.369406 0.715968 0.604742   0.021
55  N    0.688300 0.901419 0.946763   0.006
56  N    0.813330 0.350772 0.302042   0.001
57  N    0.070479 0.973604 0.153124   0.001
58  N    0.288749 0.715344 0.029027   0.201
59  N    0.037709 0.993915 0.522370  -0.001
60  N    0.248683 0.760117 0.807139   0.156
61  N    0.427943 0.511075 0.251715     0.0
62  N    0.867701 0.901980 0.081716     0.0
63  N    0.789436 0.214598 0.970886   0.039
64  N    0.997746 0.556532 0.923083   0.001
65  N    0.134486 0.342024 0.567313   0.002
66  N    0.686155 0.444863 0.476751    -0.0
67  N    0.557228 0.814819 0.568063  -0.012
68  N    0.934463 0.252540 0.132941   0.018
69  N    0.540440 0.976437 0.754240   0.007
70  N    0.992185 0.103710 0.950514     0.0
71  N    0.500333 0.930935 0.367709  -0.362
72  N    0.364764 0.571833 0.304801     0.0
73  N    0.731281 0.447667 0.708490   0.001
74  N    0.689358 0.103697 0.789367   0.013
75  N    0.878564 0.793888 0.872155     0.0
76  N    0.458187 0.115617 0.225818  -0.166
77  N    0.896776 0.818341 0.622859     0.0
78  N    0.288826 0.960667 0.269892   0.001
79  N    0.946643 0.498341 0.162143   0.002
80  N    0.990482 0.241667 0.437469     0.0
81  N    0.216932 0.048029 0.045957     0.0
82  N    0.573206 0.578643 0.647262    -0.0
83  N    0.389552 0.184606 0.952404  -0.005
84  N    0.498876 0.227860 0.680321    -0.0
85  N    0.215708 0.536209 0.880274   0.019
86  N    0.583090 0.312402 0.968190   0.003
87  N    0.596902 0.255640 0.357461    -0.0
88  N    0.775981 0.657692 0.569500  -0.001
89  N    0.232228 0.885865 0.595964   0.001
90  N    0.724695 0.900226 0.453360   -0.01
91  N    0.421948 0.433597 0.907520   0.003
92  N    0.682092 0.815176 0.166928   0.005
93  N    0.873532 0.908321 0.285189     0.0
94  N    0.051693 0.472445 0.379879   0.001
95  N    0.226072 0.353709 0.166851    -0.0
96  N    0.947207 0.988408 0.742015     0.0
97  N    0.804171 0.127028 0.365113     0.0
98  N    0.299151 0.368146 0.733401   0.001
99  N    0.659874 0.210598 0.166913  -0.001","BN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one BN sheet oriented in the (0, 0, 1) direction. B(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All B(1)-N(1) bond lengths are 1.45 脜. N(1) is bonded in a trigonal planar geometry to three equivalent B(1) atoms.",,1246.233347753957,
mp-1066783,ZrBr,"Full Formula (Zr2 Br2)
Reduced Formula: ZrBr
abc   : 3.454387 3.454387 9.988864
angles: 90.000000 90.000000 119.999983
pbc   : True True True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Zr   0.666667 0.333333 0.623483    -0.0
1   Zr   0.333333 0.666667 0.376517    -0.0
2   Br   0.666667 0.333333 0.182581    -0.0
3   Br   0.333333 0.666667 0.817419    -0.0","ZrBr crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of two ZrBr sheets oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 3-coordinate geometry to three equivalent Br(1) atoms. All Zr(1)-Br(1) bond lengths are 2.78 脜. Br(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms.",,103.22593302474807,
mp-566801,VO2,"Full Formula (V4 O8)
Reduced Formula: VO2
abc   : 7.266980 4.620208 9.092186
angles: 78.781188 90.000000 90.000000
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   V    0.000000 0.655578 0.293154   0.403
1   V    0.000000 0.344422 0.706846   0.403
2   V    0.187332 0.000000 0.500000   1.742
3   V    0.812668 0.000000 0.500000   1.742
4   O    0.000000 0.247032 0.383607  -0.018
5   O    0.000000 0.752968 0.616393  -0.018
6   O    0.773815 0.236652 0.641684    -0.1
7   O    0.773815 0.763348 0.358316    -0.1
8   O    0.226185 0.763348 0.358316    -0.1
9   O    0.226185 0.236652 0.641684    -0.1
10  O    0.000000 0.317215 0.886537  -0.045
11  O    0.000000 0.682785 0.113463  -0.045","VO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one VO2 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent O(1) atoms to form edge-sharing VO6 octahedra. All V(1)-O(1) bond lengths are 1.94 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent V(1) atoms.",,299.43645996952193,
mp-1072113,NbSe2,"Full Formula (Nb2 Se4)
Reduced Formula: NbSe2
abc   : 3.498485 3.498485 13.481815
angles: 90.000000 90.000000 120.000979
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Nb   0.666654 0.333346 0.750000   0.756
1   Nb   0.333339 0.666661 0.250000   0.758
2   Se   0.666703 0.333297 0.125920  -0.012
3   Se   0.333300 0.666700 0.873927  -0.012
4   Se   0.333300 0.666700 0.626073  -0.012
5   Se   0.666703 0.333297 0.374080  -0.012","NbSe2Br2 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one NbSe2Br2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 8-coordinate geometry to two equivalent Se(1), two equivalent Se(2), and four equivalent Br(1) atoms. Both Nb(1)-Se(1) bond lengths are 2.64 脜. Both Nb(1)-Se(2) bond lengths are 2.66 脜. There are two shorter (2.77 脜) and two longer (2.79 脜) Nb(1)-Br(1) bond lengths. There are two inequivalent Se sites. In the first Se site, Se(1) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. In the second Se site, Se(2) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. Br(1) is bonded in a water-like geometry to two equivalent Nb(1) atoms.",,142.90086198122393,
mp-715553,VO2,"Full Formula (V4 O8)
Reduced Formula: VO2
abc   : 2.937993 4.949631 9.357383
angles: 90.034998 92.416194 90.375451
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   V    0.239073 0.577110 0.361882   1.071
1   V    0.243825 0.918722 0.859885   1.103
2   V    0.751929 0.418190 0.636430   1.046
3   V    0.762559 0.071401 0.133170   1.056
4   O    0.741076 0.704709 0.477086  -0.043
5   O    0.266073 0.205254 0.021810   -0.06
6   O    0.756543 0.794982 0.977674  -0.032
7   O    0.256781 0.289096 0.526334  -0.056
8   O    0.735098 0.117769 0.766353  -0.048
9   O    0.774049 0.392797 0.261868  -0.062
10  O    0.234701 0.894904 0.239301  -0.052
11  O    0.238292 0.615066 0.738208  -0.061","VO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one VO2 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent O(1) atoms to form edge-sharing VO6 octahedra. All V(1)-O(1) bond lengths are 1.94 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent V(1) atoms.",,135.95094349147362,
mp-2036706,TiCl3,"Full Formula (Ti2 Cl6)
Reduced Formula: TiCl3
abc   : 6.032435 6.032437 6.169921
angles: 89.917473 89.917465 120.378271
pbc   : True True True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ti   0.676648 0.323352 0.000000   0.889
1   Ti   0.323352 0.676648 -0.000000   0.889
2   Cl   0.655185 0.655185 0.786811  -0.011
3   Cl   0.344815 0.344815 0.213189  -0.011
4   Cl   -0.002078 0.345055 0.765540   -0.01
5   Cl   0.345055 -0.002078 0.765540   -0.01
6   Cl   0.654945 0.002078 0.234460   -0.01
7   Cl   0.002078 0.654945 0.234460   -0.01","TiCl3 is Bismuth triodide-like structured and crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one TiCl3 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing TiCl6 octahedra. All Ti(1)-Cl(1) bond lengths are 2.42 脜. Cl(1) is bonded in an L-shaped geometry to two equivalent Ti(1) atoms.",,193.69830371764056,
mp-1408926,CoO2,"Full Formula (Co2 O4)
Reduced Formula: CoO2
abc   : 3.045534 3.045534 10.455227
angles: 90.000000 90.000000 120.000004
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Co   0.666667 0.333333 0.750000  -0.017
1   Co   0.333333 0.666667 0.250000   0.019
2   O    0.333333 0.666667 0.399514   0.001
3   O    0.666667 0.333333 0.899514  -0.002
4   O    0.333333 0.666667 0.100486   0.001
5   O    0.666667 0.333333 0.600486  -0.002","Lix0CoO2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Lix0CoO2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent O(1) atoms to form edge-sharing CoO6 octahedra. All Co(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms.",,83.98293221264305,
mp-1103987,Mg2SiO4,"Full Formula (Mg4 Si2 O8)
Reduced Formula: Mg2SiO4
abc   : 5.887662 5.887777 5.887958
angles: 112.745731 107.856403 107.855903
pbc   : True True True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Mg   0.917302 0.874960 0.292325    -0.0
1   Mg   0.082612 0.374972 0.957665    -0.0
2   Mg   0.582650 0.707663 0.624990    -0.0
3   Mg   0.417327 0.042331 0.125004    -0.0
4   Si   0.500000 0.250016 0.749967     0.0
5   Si   0.000019 0.499989 0.500027    -0.0
6   O    0.195389 0.558597 0.360376     0.0
7   O    0.301789 0.191413 0.886774    -0.0
8   O    0.804683 0.165076 0.363276     0.0
9   O    0.698188 0.584945 0.889590     0.0
10  O    0.198184 0.639621 0.834930     0.0
11  O    0.695391 0.110377 0.808623    -0.0
12  O    0.801781 0.636784 0.441379    -0.0
13  O    0.304686 0.113254 0.415074     0.0","Mg2SiO4 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one Mg2SiO4 sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded in a single-bond geometry to one O(1) atom. The Mg(1)-O(1) bond length is 1.81 脜. Si(1) is bonded to two equivalent O(1) and four O(2,2) atoms to form corner-sharing SiO6 octahedra. The corner-sharing octahedra are not tilted. Both Si(1)-O(1) bond lengths are 1.72 脜. All Si(1)-O(2,2) bond lengths are 1.75 脜. There are three inequivalent O sites. In the first O site, O(1) is bonded in a linear geometry to one Mg(1) and one Si(1) atom. In the second O site, O(2) is bonded in a linear geometry to two equivalent Si(1) atoms. In the third O site, O(2) is bonded in a linear geometry to two equivalent Si(1) atoms.",,156.7461871948164,
